"","dim","delta","ir","Comparison","Difference"
"388",5,0.5,0.5,"ACDC2",0.9669
"389",5,0.5,0.75,"ACDC2",0.97262962962963
"390",5,0.5,1,"ACDC2",0.971375
"391",5,0.75,0.1,"ACDC2",0.992785714285714
"392",5,0.75,0.25,"ACDC2",0.996333333333333
"393",5,0.75,0.5,"ACDC2",0.999333333333333
"394",5,0.75,0.75,"ACDC2",0.997888888888889
"395",5,0.75,1,"ACDC2",0.99825
"396",5,1,0.1,"ACDC2",1
"397",5,1,0.25,"ACDC2",1
"398",5,1,0.5,"ACDC2",1
"399",5,1,0.75,"ACDC2",1
"400",5,1,1,"ACDC2",1
"401",10,0,0.1,"ACDC3",0.5
"402",10,0,0.25,"ACDC3",0.5
"403",10,0,0.5,"ACDC3",0.501733333333333
"404",10,0,0.75,"ACDC3",0.505058823529412
"405",10,0,1,"ACDC3",0.501294117647059
"406",10,0.25,0.1,"ACDC3",0.684676470588235
"407",10,0.25,0.25,"ACDC3",0.809784810126582
"408",10,0.25,0.5,"ACDC3",0.876166666666667
"409",10,0.25,0.75,"ACDC3",0.89325641025641
"410",10,0.25,1,"ACDC3",0.89285
"411",10,0.5,0.1,"ACDC3",0.98284693877551
"412",10,0.5,0.25,"ACDC3",0.996875
"413",10,0.5,0.5,"ACDC3",0.9968
"414",10,0.5,0.75,"ACDC3",0.996222222222222
"415",10,0.5,1,"ACDC3",0.996
"416",10,0.75,0.1,"ACDC3",1
"417",10,0.75,0.25,"ACDC3",1
"418",10,0.75,0.5,"ACDC3",1
"419",10,0.75,0.75,"ACDC3",1
"420",10,0.75,1,"ACDC3",1
"421",10,1,0.1,"ACDC3",1
"422",10,1,0.25,"ACDC3",1
"423",10,1,0.5,"ACDC3",1
"424",10,1,0.75,"ACDC3",1
"425",10,1,1,"ACDC3",1
"426",2,0,0.1,"ACDC3",0.500166666666667
"427",2,0,0.25,"ACDC3",0.5010625
"428",2,0,0.5,"ACDC3",0.502529411764706
"429",2,0,0.75,"ACDC3",0.5
"430",2,0,1,"ACDC3",0.50325
"431",2,0.25,0.1,"ACDC3",0.531014925373134
"432",2,0.25,0.25,"ACDC3",0.561377049180328
"433",2,0.25,0.5,"ACDC3",0.6245
"434",2,0.25,0.75,"ACDC3",0.693025641025641
"435",2,0.25,1,"ACDC3",0.709216216216216
"436",2,0.5,0.1,"ACDC3",0.734188679245283
"437",2,0.5,0.25,"ACDC3",0.816349056603774
"438",2,0.5,0.5,"ACDC3",0.863594059405941
"439",2,0.5,0.75,"ACDC3",0.869244444444444
"440",2,0.5,1,"ACDC3",0.872071428571428
"441",2,0.75,0.1,"ACDC3",0.942693333333333
"442",2,0.75,0.25,"ACDC3",0.955257575757576
"443",2,0.75,0.5,"ACDC3",0.965486842105263
"444",2,0.75,0.75,"ACDC3",0.964962962962963
"445",2,0.75,1,"ACDC3",0.9645
"446",2,1,0.1,"ACDC3",0.998
"447",2,1,0.25,"ACDC3",1
"448",2,1,0.5,"ACDC3",1
"449",2,1,0.75,"ACDC3",1
"450",2,1,1,"ACDC3",1
"451",3,0,0.1,"ACDC3",0.5
"452",3,0,0.25,"ACDC3",0.500041666666667
"453",3,0,0.5,"ACDC3",0.500818181818182
"454",3,0,0.75,"ACDC3",0.5
"455",3,0,1,"ACDC3",0.500047619047619
"456",3,0.25,0.1,"ACDC3",0.527216666666667
"457",3,0.25,0.25,"ACDC3",0.630590163934426
"458",3,0.25,0.5,"ACDC3",0.716986486486486
"459",3,0.25,0.75,"ACDC3",0.745073529411765
"460",3,0.25,1,"ACDC3",0.7556
"461",3,0.5,0.1,"ACDC3",0.848077586206897
"462",3,0.5,0.25,"ACDC3",0.904636363636364
"463",3,0.5,0.5,"ACDC3",0.922589743589744
"464",3,0.5,0.75,"ACDC3",0.931833333333333
"465",3,0.5,1,"ACDC3",0.9297
"466",3,0.75,0.1,"ACDC3",0.978923076923077
"467",3,0.75,0.25,"ACDC3",0.985
"468",3,0.75,0.5,"ACDC3",0.9904
"469",3,0.75,0.75,"ACDC3",0.990733333333333
"470",3,0.75,1,"ACDC3",0.9922
"471",3,1,0.1,"ACDC3",1
"472",3,1,0.25,"ACDC3",1
"473",3,1,0.5,"ACDC3",1
"474",3,1,0.75,"ACDC3",1
"475",3,1,1,"ACDC3",1
"476",5,0,0.1,"ACDC3",0.5
"477",5,0,0.25,"ACDC3",0.5
"478",5,0,0.5,"ACDC3",0.501619047619048
"479",5,0,0.75,"ACDC3",0.503470588235294
"480",5,0,1,"ACDC3",0.501222222222222
"481",5,0.25,0.1,"ACDC3",0.585327586206897
"482",5,0.25,0.25,"ACDC3",0.710142857142857
"483",5,0.25,0.5,"ACDC3",0.787070422535211
"484",5,0.25,0.75,"ACDC3",0.812176870748299
"485",5,0.25,1,"ACDC3",0.815392857142857
"486",5,0.5,0.1,"ACDC3",0.92246875
"487",5,0.5,0.25,"ACDC3",0.958047619047619
"488",5,0.5,0.5,"ACDC3",0.9685
"489",5,0.5,0.75,"ACDC3",0.97437037037037
"490",5,0.5,1,"ACDC3",0.975875
"491",5,0.75,0.1,"ACDC3",0.992714285714286
"492",5,0.75,0.25,"ACDC3",0.997666666666667
"493",5,0.75,0.5,"ACDC3",0.998666666666667
"494",5,0.75,0.75,"ACDC3",0.997444444444444
"495",5,0.75,1,"ACDC3",0.99825
"496",5,1,0.1,"ACDC3",1
"497",5,1,0.25,"ACDC3",1
"498",5,1,0.5,"ACDC3",1
"499",5,1,0.75,"ACDC3",1
"500",5,1,1,"ACDC3",1
"501",10,0,0.1,"ACDC4",0.50085
"502",10,0,0.25,"ACDC4",0.5
"503",10,0,0.5,"ACDC4",0.501933333333333
"504",10,0,0.75,"ACDC4",0.501745098039216
"505",10,0,1,"ACDC4",0.503647058823529
"506",10,0.25,0.1,"ACDC4",0.700661764705882
"507",10,0.25,0.25,"ACDC4",0.814848101265823
"508",10,0.25,0.5,"ACDC4",0.877041666666667
"509",10,0.25,0.75,"ACDC4",0.893294871794872
"510",10,0.25,1,"ACDC4",0.89625
"511",10,0.5,0.1,"ACDC4",0.986183673469388
"512",10,0.5,0.25,"ACDC4",0.996875
"513",10,0.5,0.5,"ACDC4",0.9956
"514",10,0.5,0.75,"ACDC4",0.997444444444444
"515",10,0.5,1,"ACDC4",0.997666666666667
"516",10,0.75,0.1,"ACDC4",1
"517",10,0.75,0.25,"ACDC4",1
"518",10,0.75,0.5,"ACDC4",1
"519",10,0.75,0.75,"ACDC4",1
"520",10,0.75,1,"ACDC4",1
"521",10,1,0.1,"ACDC4",1
"522",10,1,0.25,"ACDC4",1
"523",10,1,0.5,"ACDC4",1
"524",10,1,0.75,"ACDC4",1
"525",10,1,1,"ACDC4",1
"526",2,0,0.1,"ACDC4",0.5
"527",2,0,0.25,"ACDC4",0.500125
"528",2,0,0.5,"ACDC4",0.5
"529",2,0,0.75,"ACDC4",0.502233333333333
"530",2,0,1,"ACDC4",0.5
"531",2,0.25,0.1,"ACDC4",0.552432835820896
"532",2,0.25,0.25,"ACDC4",0.598524590163934
"533",2,0.25,0.5,"ACDC4",0.668568965517241
"534",2,0.25,0.75,"ACDC4",0.704753846153846
"535",2,0.25,1,"ACDC4",0.711567567567568
"536",2,0.5,0.1,"ACDC4",0.795537735849057
"537",2,0.5,0.25,"ACDC4",0.843830188679245
"538",2,0.5,0.5,"ACDC4",0.868237623762376
"539",2,0.5,0.75,"ACDC4",0.872044444444444
"540",2,0.5,1,"ACDC4",0.872857142857143
"541",2,0.75,0.1,"ACDC4",0.951313333333333
"542",2,0.75,0.25,"ACDC4",0.961287878787879
"543",2,0.75,0.5,"ACDC4",0.964842105263158
"544",2,0.75,0.75,"ACDC4",0.964444444444444
"545",2,0.75,1,"ACDC4",0.967
"546",2,1,0.1,"ACDC4",0.998
"547",2,1,0.25,"ACDC4",1
"548",2,1,0.5,"ACDC4",1
"549",2,1,0.75,"ACDC4",1
"550",2,1,1,"ACDC4",1
"551",3,0,0.1,"ACDC4",0.5
"552",3,0,0.25,"ACDC4",0.5
"553",3,0,0.5,"ACDC4",0.502181818181818
"554",3,0,0.75,"ACDC4",0.501484848484849
"555",3,0,1,"ACDC4",0.505952380952381
"556",3,0.25,0.1,"ACDC4",0.573183333333333
"557",3,0.25,0.25,"ACDC4",0.657016393442623
